ip,port,username,password
192.168.1.10,8080,proxyuser1,proxypass1
192.168.1.11,8080,proxyuser2,proxypass2
192.168.1.12,8080,proxyuser3,proxypass3
192.168.1.13,8080,proxyuser4,proxypass4
192.168.1.14,8080,proxyuser5,proxypass5
192.168.1.15,8080,proxyuser6,proxypass6
192.168.1.16,8080,proxyuser7,proxypass7
192.168.1.17,8080,proxyuser8,proxypass8
192.168.1.18,8080,proxyuser9,proxypass9
192.168.1.19,8080,proxyuser10,proxypass10
192.168.1.20,8080,proxyuser11,proxypass11
192.168.1.21,8080,proxyuser12,proxypass12
192.168.1.22,8080,proxyuser13,proxypass13
192.168.1.23,8080,proxyuser14,proxypass14
192.168.1.24,8080,proxyuser15,proxypass15
192.168.1.25,8080,proxyuser16,proxypass16
192.168.1.26,8080,proxyuser17,proxypass17
192.168.1.27,8080,proxyuser18,proxypass18
192.168.1.28,8080,proxyuser19,proxypass19
192.168.1.29,8080,proxyuser20,proxypass20
192.168.1.30,8080,proxyuser21,proxypass21
192.168.1.31,8080,proxyuser22,proxypass22
192.168.1.32,8080,proxyuser23,proxypass23
192.168.1.33,8080,proxyuser24,proxypass24
192.168.1.34,8080,proxyuser25,proxypass25
192.168.1.35,8080,proxyuser26,proxypass26
192.168.1.36,8080,proxyuser27,proxypass27
192.168.1.37,8080,proxyuser28,proxypass28
192.168.1.38,8080,proxyuser29,proxypass29
192.168.1.39,8080,proxyuser30,proxypass30
192.168.1.40,8080,proxyuser31,proxypass31
192.168.1.41,8080,proxyuser32,proxypass32
192.168.1.42,8080,proxyuser33,proxypass33
192.168.1.43,8080,proxyuser34,proxypass34
192.168.1.44,8080,proxyuser35,proxypass35
192.168.1.45,8080,proxyuser36,proxypass36
192.168.1.46,8080,proxyuser37,proxypass37
192.168.1.47,8080,proxyuser38,proxypass38
192.168.1.48,8080,proxyuser39,proxypass39
192.168.1.49,8080,proxyuser40,proxypass40
192.168.1.50,8080,proxyuser41,proxypass41
192.168.1.51,8080,proxyuser42,proxypass42
192.168.1.52,8080,proxyuser43,proxypass43
192.168.1.53,8080,proxyuser44,proxypass44
192.168.1.54,8080,proxyuser45,proxypass45
192.168.1.55,8080,proxyuser46,proxypass46
192.168.1.56,8080,proxyuser47,proxypass47
192.168.1.57,8080,proxyuser48,proxypass48
192.168.1.58,8080,proxyuser49,proxypass49
192.168.1.59,8080,proxyuser50,proxypass50
192.168.1.60,8080,proxyuser51,proxypass51
192.168.1.61,8080,proxyuser52,proxypass52
192.168.1.62,8080,proxyuser53,proxypass53
192.168.1.63,8080,proxyuser54,proxypass54
192.168.1.64,8080,proxyuser55,proxypass55
192.168.1.65,8080,proxyuser56,proxypass56
192.168.1.66,8080,proxyuser57,proxypass57
192.168.1.67,8080,proxyuser58,proxypass58
192.168.1.68,8080,proxyuser59,proxypass59
192.168.1.69,8080,proxyuser60,proxypass60
192.168.1.70,8080,proxyuser61,proxypass61
192.168.1.71,8080,proxyuser62,proxypass62
192.168.1.72,8080,proxyuser63,proxypass63
192.168.1.73,8080,proxyuser64,proxypass64
192.168.1.74,8080,proxyuser65,proxypass65
192.168.1.75,8080,proxyuser66,proxypass66
192.168.1.76,8080,proxyuser67,proxypass67
192.168.1.77,8080,proxyuser68,proxypass68
192.168.1.78,8080,proxyuser69,proxypass69
192.168.1.79,8080,proxyuser70,proxypass70
192.168.1.80,8080,proxyuser71,proxypass71
192.168.1.81,8080,proxyuser72,proxypass72
192.168.1.82,8080,proxyuser73,proxypass73
192.168.1.83,8080,proxyuser74,proxypass74
192.168.1.84,8080,proxyuser75,proxypass75
192.168.1.85,8080,proxyuser76,proxypass76
192.168.1.86,8080,proxyuser77,proxypass77
192.168.1.87,8080,proxyuser78,proxypass78
192.168.1.88,8080,proxyuser79,proxypass79
